@relation TechnoGym-weka.filters.unsupervised.attribute.Remove-R10-11

@attribute started_startofweekdate date dd/MM/yyyy
@attribute id_user numeric
@attribute id_facility numeric
@attribute count_session numeric
@attribute count_step numeric
@attribute count_physicalactivity numeric
@attribute sum_assignedmove numeric
@attribute sum_performedduration numeric
@attribute sum_performedweight numeric
@attribute avg_session_length numeric
@attribute pa_compliance numeric
@attribute muscle_compliance numeric
@attribute execise_quality_compliance numeric
@attribute month numeric
@attribute user_sex {M,F}
@attribute user_age numeric
@attribute facility_nation {IT}
@attribute facility_hasunity {true,false}
@attribute facility_hasartis {true,false}
@attribute WeeksSinceLastSession numeric
@attribute WeeksToNextSession numeric
@attribute weeks_since_membership numeric
@attribute id_membership numeric
@attribute cum_count_session numeric
@attribute weeks_to_drop numeric
@attribute count_session_rolling_sum2 numeric
@attribute count_session_rolling_sum8 numeric
@attribute rolling_frequency2 numeric
@attribute pa_compliance_rolling_avg2 numeric
@attribute pa_compliance_rolling_avg8 numeric
@attribute muscle_compliance_rolling_avg2 numeric
@attribute muscle_compliance_rolling_avg8 numeric
@attribute DropFlag {FALSE,TRUE}

@data
03/11/2014,200,4312,3,135,51,5565,15066,611.25,3882,0.838769,0.848132,0.875995,11,F,32,IT,false,false,1,1,3,942827,7,4,6,7,3,0.751778,0.833546,0.753686,0.834892,FALSE
10/11/2014,200,4312,2,90,34,3710,10872,397.5,4216,0.938381,0.960149,0.980172,11,F,32,IT,false,false,1,2,4,942827,9,4,5,9,2.5,0.888575,0.859755,0.904141,0.866206,FALSE
17/11/2014,200,4312,0,0,0,?,0,0,0,0,0,0,11,F,32,IT,false,false,?,?,5,942827,9,4,2,9,1,0.469191,0.687804,0.480075,0.692965,FALSE
24/11/2014,200,4312,4,147,63,5498,17886,1375.75,4142,0.933476,0.895847,0.904749,11,F,32,IT,false,false,2,1,6,942827,13,3,4,13,2,0.466738,0.728749,0.447923,0.726779,FALSE
01/12/2014,200,4312,3,99,44,3593,12960,1141,5990,0.994485,0.995137,0.9975,12,F,32,IT,false,false,1,1,7,942827,16,2,7,16,3.5,0.963981,0.766711,0.945492,0.765115,FALSE
08/12/2014,200,4312,2,67,30,2412,8790,786,4628,0.992566,0.992012,0.994625,12,F,32,IT,false,false,1,?,8,942827,18,1,5,18,2.5,0.993526,0.794943,0.993575,0.793478,TRUE
23/03/2015,200,4312,3,99,39,3705,11988,615,5297,0.968411,0.966807,0.989866,3,F,32,IT,false,false,?,1,1,942828,3,4,3,3,3,0.968411,0.968411,0.966807,0.966807,FALSE
30/03/2015,200,4312,3,99,39,3705,12420,666.75,4348,0.983335,0.985019,0.990518,3,F,32,IT,false,false,1,1,2,942828,6,4,6,6,3,0.975873,0.975873,0.975913,0.975913,FALSE
06/04/2015,200,4312,3,138,60,5325,17286,751.5,5167,0.947551,0.938463,0.891215,4,F,32,IT,false,false,1,1,3,942828,9,4,6,9,3,0.965443,0.966432,0.961741,0.96343,FALSE
13/04/2015,200,4312,2,92,40,3550,12084,555,5889,0.996617,0.996587,0.995176,4,F,32,IT,false,false,1,1,4,942828,11,4,5,11,2.5,0.972084,0.973978,0.967525,0.971719,FALSE
